 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1
ACN,Date,Local Time Of Day,Locale Reference,State Reference,Relative Position.Angle.Radial,Relative Position.Distance.Nautical Miles,Altitude.AGL.Single Value,Altitude.MSL.Single Value,Latitude / Longitude (UAS),Flight Conditions,Weather Elements / Visibility,Work Environment Factor,Light,Ceiling,RVR.Single Value,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Aircraft Component,Manufacturer,Aircraft Reference,Problem,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Anomaly,Miss Distance,Were Passengers Involved In Event,Detector,When Detected,Result,Contributing Factors / Situations,Primary Problem,Narrative,Callback,Narrative,Callback,Synopsis
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643525,200501,0601-1200,ZZZ.Airport,US,,,,1900,,IMC,Fog,,Daylight,200,4000,TRACON ZZZ1.TRACON,FBO,Bonanza 33,,1,Part 91,IFR,Training,Localizer/Glideslope/ILS 33,Initial Approach; Landing,Other Instrument Precision,Class E ZZZ1.E,,,,,,,,,,,,,,,,,,,,,,,,Indicating and Warning - Flight & Navigation Systems,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,FBO,Pilot Not Flying; Instructor,Flight Crew Commercial; Flight Crew Multiengine; Flight Crew Flight Instructor; Flight Crew Instrument,Flight Crew Last 90 Days 17.6; Flight Crew Total 3900; Flight Crew Type 86,,,,,643525,Aircraft X,,FBO,Trainee; Pilot Flying,,,,,,,,Aircraft Equipment Problem Critical; Deviation - Altitude Overshoot; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter CFTT / CFIT,,,,,Air Traffic Control Issued Advisory / Alert; Flight Crew Executed Go Around / Missed Approach; General Maintenance Action,Aircraft; Human Factors,Aircraft,I WAS CONDUCTING AN IFR CROSS COUNTRY TRAINING FLT ON AN IFR FLT PLAN. THE ACFT HAD AN IFR GPS; A #1 NAV/COM OF A KX155 WITH GS INTERFACED TO A HSI; AND A #2 NAV; A NARCO VOR/LOCALIZER/CDI; AND A CENTURY 2000 AUTOPLT COUPLED TO THE #1 NAV. UPON ARRIVING IN THE VICINITY OF ZZZ AT 5000 FT; THE ATIS INDICATED CONDITIONS BELOW MINIMUMS; RVR 1800 AND 100 FT CEILING. A LOW LAYER OF MORNING GND FOG HAD FORMED IN THE VICINITY. ATC REQUESTED INTENTIONS; WE REPLIED WE WISHED TO HOLD AS CONDITIONS WERE IMPROVING. THEY PROVIDED VECTORS INSTEAD OF A HOLD AND REQUESTED WE CLB TO 6000 FT TO STAY CLR OF OTHER TFC. AFTER ABOUT 15 MINS; ATC BROADCAST THAT CONDITIONS AT ZZZ HAD IMPROVED TO RVR 4000 AND 200 FT CEILING. WE REQUESTED AN APCH IN SEQUENCE. WE WERE VECTORED TO THE FINAL APCH COURSE. AS WE APCHED THE ILS; WE WERE REQUESTED TO DSND TO 5000 FT; THEN 3500 FT IN RAPID SEQUENCE. WE HAD DECIDED TO USE THE AUTOPLT FOR THE APCH AND HAD IT ENGAGED IN HDG MODE WITH A DSCNT. WE VERIFIED THE ILS 33 IDENT AND THAT THE HSI DID NOT HAVE ANY FLAGS VISIBLE. WHILE IN THE DSCNT; WE WERE GIVEN THE FINAL TURN ON VECTOR TO JOIN THE LOCALIZER AND TO MAINTAIN 2400 FT UNTIL ESTABLISHED. I BELIEVE WE WERE APPROX 6 MILES FROM THE OUTER. THE STUDENT INCREASED THE RATE OF DSCNT. AFTER OUR TURN TO THE INTERCEPT HDG; THE APCH MODE OF THE AUTOPLT WAS ENGAGED AND WE VERIFIED THAT IT ANNUNCIATED APCH AND GS COUPLING. THE AUTOPLT MAINTAINED THE RATE OF DSCNT (ESTIMATED 1000 FPM) AND INTERCEPTED THE LOCALIZER COURSE. THE GS INDICATOR ON THE HSI INDICATED WE WERE ON THE GS (NEEDLE CENTERED; NO FLAGS). THE LNDG GEAR WAS LOWERED AND THE AUTOPLT CONTINUED TO DSND AT THE 1000 FPM RATE AND BUSTED THROUGH THE 2400 FT INTERCEPT ALT. I ESTIMATE WE WERE STILL THREE MILES FROM THE OUTER MARKER. I REALIZED SOMETHING WAS WRONG AS THE GS CONTINUED TO INDICATE WE WERE ON GLIDE PATH; BUT WE SHOULD HAVE HAD A FLY UP INDICATION AT THIS POINT. I DISENGAGED THE AUTOPLT AND APPLIED FULL POWER; BUT BY THIS POINT WE HAD DSNDED TO 1900 FT. AT ALMOST THE SAME TIME; ATC TRANSMITTED A LOW ALT ALERT TO US AND TOLD US TO CLB TO 2400 FT. I REQUESTED THE PLT TO PITCH UP AND INITIATE A CLB. BECAUSE THE GEAR WAS STILL DOWN AND THE PITCH INSUFFICIENTLY HIGH; THE CLB RATE WAS TOO LOW. ATC ASKED IF WE WERE CLBING. I TOOK THE CTLS; PITCHED UP AND RAISED THE GEAR AND CLBED TO 2400 FT. I ADVISED ATC WE WERE MISSING THE APCH AND WE HAD AN EQUIP FAILURE IN THE ILS. ALL DURING THE MISS; THE GS FLAG DID NOT APPEAR AND THE GS NEEDLE INDICATED WE WERE ON GS. AFTER EVALUATING OUR OPTIONS; WE DECIDED TO RETURN TO OUR HOME BASE; WHICH WAS VFR CONDITIONS. WE VERIFIED THE SAME ILS INDICATIONS AT OUR HOME BASE AND WE CONDUCTED A LOCALIZER ONLY APCH. THIS TIME THE INTERCEPT WAS NOT FROM ABOVE WITH A HIGH DSCNT RATE AND WE LEVELED AT THE INTERCEPT ALT BEFORE ENGAGING THE AUTOPLT. ONCE AGAIN; THE GS INDICATIONS WERE NO FLAGS AND GS INDICATING ON GLIDE PATH. WHEN WE ENGAGED THE APCH FUNCTION OF THE AUTOPLT; IT JUST MAINTAINED ALT; AS THAT WAS WHAT THE GS INDICATIONS WERE INDICATING. WE DISENGAGED THE AUTOPLT AND LANDED NORMALLY. AFTER ON THE GND; WE DISCUSSED WITH THE AVIONICS SHOP AND CONCLUDED THE KX155 NAV #1 WAS AT FAULT AS BOTH THE HSI AND AUTOPLT'S ACTIONS CONCURRED WITH ONE ANOTHER. THE KX155 WAS REMOVED AND RESEATED. IT THEN BEGAN TO GIVE GS INDICATIONS OTHER THAN ON GLIDE PATH. WE FLEW ONCE AGAIN TO VERIFY THAT ALL THE SYSTEMS WERE OPERATING CORRECTLY AND THERE WERE NO PROBS INDICATED. LESSONS LEARNED. A RAPID DSCNT THAT HAD US JOIN THE FINAL APCH COURSE FROM ABOVE CONTRIBUTED TO MY INITIAL CONFUSION. THE GS FAILURE WAS DIFFICULT TO DETECT AS WE HAD VERIFIED THE ILS IDENT; VERIFIED THE GS INDICATION WITHOUT A FLAG; ENGAGED THE AUTOPLT; AND GOT CORRECT ANNUNCIATION FOR THE AUTOPLT TRACKING THE ILS. SITUATIONAL AWARENESS SHOULD HAVE BEEN BETTER AND I SHOULD HAVE REALIZED SOONER THAT THE GS INDICATIONS WERE WRONG; AS I SHOULD HAVE EXPECTED A FLY UP. THE HIGH DSCNT RATE WITH THE AUTOPLT COUPLED SHOULD HAVE BEEN ANOTHERINDICATOR. I SHOULD HAVE INITIATED THE GO AROUND AND MISSED APCH SOONER. FORTUNATELY; THE CONDITIONS WERE STILL VFR ON TOP OF THE OVERCAST; AND ATC DID A GOOD JOB OF WARNING US. IF NOT; WE COULD EASILY HAVE FLOWN INTO THE GND. I ALSO OBSERVE THAT THERE IS NOT A GOOD WAY OF VERIFYING THAT THE GS FUNCTION IS WORKING NOR IS THERE AN EQUIVALENT REQUIREMENT TO HAVE IT FREQUENTLY CHKED AS THERE IS FOR A VOR RECEIVER. IF WE HAD A SECOND ILS RECEIVER ON BOARD; THAT MIGHT HAVE INDICATED A DISCREPANCY SOONER. FROM THIS POINT ON; I WILL AT LEAST VERIFY GS OPERATION WHILE ON THE GND AT AN ARPT THAT HAS AN ILS INSTALLED; AT LEAST TO THE EXTENT THAT THE GS NEEDLE WILL MOVE FROM THE CTR POSITION (USUALLY A FLY UP) AS PART OF OUR TAXI/RUNUP. I THINK CONSIDERATION SHOULD BE GIVEN TO THE FAA HAVING A REQUIREMENT THAT AN ILS OPERATION BE OPERATIONALLY CHKED ON SOME PERIODIC BASIS; AND LOGGED SIMILAR TO VOR CHECKS. CALLBACK CONVERSATION WITH RPTR REVEALED THE FOLLOWING INFO: RPTR STATED THAT THEY WERE IN A DSCNT ON THE AUTOPLT AND CONTINUED TO DSND BECAUSE OF THE CENTERED GS NEEDLE AND NO 'OFF FLAGS'. RPTR SAID THEY COULD HAVE CONTINUED TO FLY INTO THE GND IF THEY WERE NOT WARNED BY THE CTLR. RPTR STATED THAT THE KX155 NAV/COM UNIT HAS A PRINTED CIRCUIT BOARD WITH ETCHED GOLD CONNECTORS. RPTR ADVISED THAT THE AVIONICS TECH WHO RESEATED THE UNIT SAID THAT THERE ARE TWO PINS WHICH CTL THE GS UP/DOWN INDICATION AND THAT THESE PINS WERE APPARENTLY NOT SEATED CORRECTLY DURING THE FLT IN QUESTION. RPTR ADVISED THAT THERE IS NO SELF TEST FUNCTION ON THE KX155 THAT WOULD ALLOW THE PLT TO CHK THAT THE OFF FLAG IS FUNCTIONING.,,,,BE33 FOLLOWS ON GLIDE PATH INDICATION 500 FT BELOW GS INTERCEPT ALT WITH NO INSTRUMENT OFF FLAGS VISIBLE ON A COUPLED AUTOPLT APCH.
643757,200501,1201-1800,FCH.Airport,CA,,,,960,,IMC,3,,Daylight,600,,TRACON FAT.TRACON; UNICOM FCH,,Bonanza 36,,1,Part 91,IFR,Training,VOR / VORTAC CZQ.VORTAC,Landing; Initial Approach,,Class E FCH.E,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRACON FAT.TRACON; UNICOM FCH,,Any Unknown or Unlisted Aircraft Manufacturer,,,,,,,Cruise,Other Traffic Pattern,Class E FCH.E,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Personal,Single Pilot; Pilot Flying,Flight Crew Flight Instructor; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument,Flight Crew Last 90 Days 40; Flight Crew Total 5600; Flight Crew Type 700,,,,,643757,Aircraft Y,,,Pilot Flying,,,,,,,,Conflict Airborne Conflict; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Weather / Turbulence; Other Transmit On Wrong Frequency,,,Person Flight Crew,,Flight Crew Executed Go Around / Missed Approach; General None Reported / Taken,Human Factors; Airspace Structure,Human Factors,I WAS PRACTICING IFR APCHS TODAY IN FRESNO; CA; IN ACTUAL IFR CONDITIONS. THE ASOS AT FRESNO CHANDLER (FCH) WAS RPTING 600 FT; 3 MI. FCH HAS AN ELEVATION OF 278 FT MSL. FCH IS LOCATED UNDER CLASS 3 AIRSPACE WHICH HAS A BASE OF 700 FT AGL; WHICH TRANSLATES TO 978 FT MSL. I WAS CLRED FOR THE VOR/DME-GPS(C) APCH TO FCH. MINIMUMS FOR THIS APCH WERE 960 FT MSL WHICH TRANSLATES TO 682 FT AGL. I CROSSED OVER FCH AT 960 FT MSL. WITHOUT EVER SEEING THE ARPT. I COULD SEE THE GND HAZILY STRAIGHT DOWN ONLY AND REMAINED IN THE CLOUDS. AT THE MISSED APCH; I EXECUTED THE MISSED APCH PROC AND WENT BACK TO FRESNO APCH. AN AIRPLANE CAME UP ON FRESNO APCH FREQ ASKING IF APCH WAS WORKING ANY ACFT AT FCH. FRESNO APCH SAID YES; THAT HE HAD CLRED AN ACFT FOR THE APCH. FROM THE CONVERSATION; I CONCLUDED THAT THE OTHER AIRPLANE WAS VFR AND SHOOTING LNDGS IN THE TFC PATTERN AT FCH. HIS PATTERN HAD TO BE AT OR BELOW 600 FT AGL SINCE THE CLOUD BASES WERE RPTED AT 600 FT OVCST. I NEVER SAW AN AIRPLANE ON THE APCH; LET ALONE THE ARPT. HE MUST HAVE SEEN ME. FRESNO APCH NEVER CALLED THIS ACFT AS A TARGET. THE OTHER ACFT NEVER SUGGESTED THAT A CONFLICT HAD OCCURRED. HE JUST ASKED IF FRESNO APCH WAS WORKING ANY ACFT AT FCH. IT APPEARS THAT EVERYONE WAS PROCEEDING LEGALLY; BUT THE IFR/VFR INTERFACE CAME PRETTY CLOSE TODAY. I WAS LEGALLY ON AN IFR APCH AND MAINTAINED COURSE AND ALT PROPERLY. I NEVER WENT BELOW THE 960 FT MSL MINIMUMS; NEVER SAW THE ARPT; NEVER SAW ANOTHER PLANE; AND EXECUTED THE MISS ACCORDING TO INSTRUCTION.,,,,BE36 PLT EXPRESSES CONCERN REGARDING POTENTIAL CONFLICT BTWN IFR AND VFR TFC AT FCH; AN UNCTLED AIRFIELD.
644508,200501,1201-1800,ZZZ.Airport,US,,,10,,,VMC,10,,Daylight,,,CTAF ZZZ,Government,MD Helicopter 500/C/D/E/L,,2,Part 91,None,Training,,Landing,,Class E JWN.E,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTAF ZZZ,,Skyhawk 172/Cutlass 172,,1,,,,,Landing,Other Traffic Pattern,Class E JWN.E,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,,Instructor; Pilot Not Flying,Flight Crew Flight Instructor; Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP); Other Rotocraft,Flight Crew Last 90 Days 75; Flight Crew Total 2400; Flight Crew Type 300,,,,,644508,Aircraft X,,,Pilot Flying,Flight Crew Private; Flight Crew Student; Flight Crew Instrument,Flight Crew Last 90 Days 75; Flight Crew Total 250; Flight Crew Type 35,,,,,644509,Conflict NMAC; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Other / Unknown; Deviation / Discrepancy - Procedural Published Material / Policy,Horizontal 0; Vertical 100,,Person Flight Crew,,General None Reported / Taken,Human Factors,Human Factors,A CFI AND STUDENT WERE EXECUTING PRACTICE AUTO-ROTATIONS IN A R-HAND PATTERN. WE HAD EXECUTED 3 AUTOS AND HAD FLARED AND WERE IN A 3 FT HOVER WHEN A SHADOW APPEARED OVER THE HELI. AN UNREADABLE VOICE ON THE CTAF WAS HEARD. THE ACFT WENT AROUND AND CONTINUED TOUCH-AND-GOES. THERE WERE 2 OTHER ACFT DEPARTING. THE ACFT THAT FLEW OVER US WAS ADVISED THAT HIS RADIO WAS UNREADABLE; BUT CONTINUED TO DO TOUCH-AND-GOES. WE DEPARTED THE PATTERN AND LEFT THE ARPT. WE HAD CLRED THE AREA PRIOR TO EACH TURN FROM DOWNWIND TO BASE AND BASE TO FINAL. WE HAD BEEN THE ONLY ACFT IN THE PATTERN AND HAD BEEN ANNOUNCING ALL OUR PRIOR AUTO-ROTATIONS ON THE RADIO. THE OTHER ACFT NEVER ANNOUNCED HIS PRESENCE OR ACKNOWLEDGED THAT HE HAD RADIO TROUBLE.,,,,A GOV MD500E; ON A TRAINING MISSION AT CTAF ARPT EXPERIENCED AN NMAC WITH A SINGLE NORDO C172 MAKING TOUCH-AND-GOES.
645567,200501,1201-1800,LSE.Airport,WI,,,,4000,,VMC,,,Daylight,,,Center ZMP.ARTCC,,Skyhawk 172/Cutlass 172,,2,Part 91,IFR,Training,Localizer/Glideslope/ILS 18,Initial Approach,Vectors; Other Instrument Precision,Class E ZMP.E,,,,,,,,,,,,,,,,,,,,,,,,Navigational Equipment and Processing,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,FBO,Instructor; Pilot Not Flying,Flight Crew Flight Instructor; Flight Crew Instrument; Flight Crew Commercial,Flight Crew Last 90 Days 60; Flight Crew Total 825; Flight Crew Type 675,,,,,645567,Aircraft X,,FBO,Pilot Flying; Single Pilot,,,,,,,,Aircraft Equipment Problem Critical; Deviation - Track / Heading All Types; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Flight Crew,,Flight Crew Returned To Clearance; General None Reported / Taken,ATC Equipment / Nav Facility / Buildings; Aircraft,ATC Equipment / Nav Facility / Buildings,TRACKING THE 14 DME ARC TO LSE WITH A STUDENT IN IFR TRAINING WE RECEIVED WHAT WE BELIEVED TO BE A LOCALIZER SIGNAL; AND TURNED INBND AS THE INSTRUMENTS INDICATED. BEING IN VMC CONDITIONS; WE QUICKLY REALIZED THAT THERE WAS SOMETHING WRONG. ALL FREQS WERE CORRECT; TUNED IN 2ND VOR NAV IN THE AIRPLANE AND RECEIVED THE SAME INDICATION AGAIN. WE BELIEVE AT THIS TIME WE WERE RECEIVING A FALSE LOCALIZER INDICATION DUE TO THE REACTION OF THE CDI ON BOTH VOR NAVS. WE CONTINUED TO FLY THE ARC VISUALLY NOW BUT BY THIS TIME WE WERE WELL INSIDE THE 14 DME ARC BY 5 MILES (9.2 FROM NAVAID). ALT CLEARANCES WERE MAINTAINED; BUT APCH COURSE WASN'T TRACKED CORRECTLY DUE TO FALSE INDICATIONS FROM THE LOCALIZER SIGNAL. WE DID OBTAIN A NEW CORRECT SIGNAL FARTHER INTO THE APCH AND WERE ABLE TO COMPLETE THE APCH SUCCESSFULLY. WX CONDITIONS WERE VMC THROUGHOUT THIS TIME FRAME. CALLBACK CONVERSATION WITH RPTR REVEALED THE FOLLOWING INFO: RPTR STATED THAT SHE AND THE OTHER PLT ARE FAMILIAR WITH THE ARPT AREA AND CONSEQUENTLY KNEW THE LOCALIZER SIGNAL WAS INCORRECT. THEY ESTIMATED THAT THE SIGNAL WAS OFF BY AS MUCH AS 20 DEGS. THEY HAD APCHED FROM THE WEST; DSCNDED AND THEN CLBED BACK TO 4000 FT FOR TFC. A 2449 FT ANTENNA OBSTACLE EXISTS IN THAT QUADRANT. THEY SAW THE ANTENNA BECAUSE THEY WERE VFR; KNEW WHERE THE ANTENNA WAS LOCATED; AND THEREFORE IT WAS NOT A PROB. IN FULL IMC CONDITIONS AT A LOWER ALT; SHE FELT THIS COULD HAVE BEEN A DIFFERENT STORY. ATC HAD NO COMMENTS TO THEM ABOUT THEIR APCH TRACK.,,,,A C172 CONDUCTING AN APCH TO LSE RECEIVED A FALSE LOCALIZER SIGNAL.
646559,200502,1201-1800,9K8.Airport,KS,,,0,,,VMC,15,,Daylight,CLR,,CTAF 9K8,Personal,Skyhawk 172/Cutlass 172,,1,Part 91,None,Training,,Landing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Personal,Pilot Flying; Single Pilot,Flight Crew Private,Flight Crew Last 90 Days 20; Flight Crew Total 70; Flight Crew Type 70,,,,,646559,,,,,,,,,,,,Ground Event / Encounter Loss Of Aircraft Control,,,Person Flight Crew,,Flight Crew Executed Go Around / Missed Approach; Flight Crew Regained Aircraft Control,Airport; Human Factors; Weather,Human Factors,WHILE XING MIDFIELD; NOTICED THE RWY TO BE VERY WET AND SLUSHY. NO RPTS OF BRAKING ACTION HAD BEEN MADE. THE FINAL APCH INTO THIS UNFAMILIAR ARPT WAS HIGH; RESULTING IN THE ACFT LNDG LONG. AS THE MAIN GEAR TOUCHED DOWN IN THE SLUSH; THE ACFT BEGAN A SKID TO THE L. FEELING THAT THE ACFT WAS UNCTLABLE ON THE GND AND THAT IT WAS LIKELY GOING TO SKID OFF THE RWY; THE PLT DECIDED TO ATTEMPT A GAR. FULL PWR WAS ADDED AND THE ACFT WAS ROTATED AT AROUND 45 KTS RESULTING IN THE ACFT BEING AIRBORNE IN GND EFFECT. AS THE PLT ATTEMPTED TO REMOVE 10 DEGS OF FLAPS; THE NOSE DIPPED SLIGHTLY; RESULTING IN THE PLT ACCIDENTALLY REMOVING ALL 30 DEGS OF FLAPS FOLLOWED BY THE PLT PULLING BACK ON THE CTL YOKE TO BRING THE ACFT UP INTO CLB ALT. AT APPROX 60 FT AGL; THE ACFT STALLED. THE PLT LOWERED THE NOSE JUST ENOUGH TO BREAK THE STALL AND GAIN SOME SPD. THE PLT THEN HAD TO QUICKLY PULL BACK ON THE CTL YOKE IN AN ATTEMPT TO MISS A TREE LINE LOCATED OFF THE DEP END OF THE RWY. THE ACFT BARELY CLRED THE TREES (THE BRANCHES WERE HEARD SCRAPING THE BOTTOM OF THE FUSELAGE) BEFORE STALLING AGAIN. THE PLT LOWERED THE NOSE AND; WITH NO FURTHER OBSTRUCTIONS; ACCELERATED TO VY BEFORE CONTINUING TO CLB. THE ACFT RETURNED TO ITS HOME BASE AND WAS INSPECTED FOR ANY DAMAGE (NONE WAS INCURRED). CAUSE: 1) INEXPERIENCE OF THE PLT WITH LNDG ON WET/SLICK SURFACES (THE PLT HAD NEVER LANDED ON A WET OR SLICK RWY). 2) IMPROPER PLANNING -- THE PLT FAILED TO CHK CONDITIONS AT THE DEST ARPT. THE DEP ARPT; LOCATED 40 MI TO THE E WAS DRY. THE PLT ASSUMED THE SAME WOULD BE TRUE AT THE DEST ARPT. 3) THE PLT'S DECISION TO GO AHEAD WITH THE LNDG EVEN THOUGH IT WAS GOING TO BE LONG. 4) ACCIDENTALLY DUMPING ALL 30 DEGS OF FLAPS WHILE THE ACFT WAS IN GND EFFECT CAUSED THE ACFT TO STALL AT A VERY LOW ALT. 5) A SECONDARY STALL WAS ENTERED AS A RESULT OF TRYING TO CLR A ROW OF TREES. THE STALL WAS RECOVERED SUCCESSFULLY AT APPROX 50 FT AGL. CONTRIBUTING FACTORS: 1) WET AND SLUSHY LNDG SURFACE. 2) 12-15 KT XWIND AT THE TIME OF THE LNDG.,,,,AFTER LNDG LONG ON A WET AND SLUSHY RWY; A C172 PLT ATTEMPTS A LOW SPD TKOF; RETRACTS THE FLAPS; STALLS; RECOVERS; PULLS ACFT UP OVER TREES; STALLS; RECOVERS; AND RETURN TO HOME BASE TO LAND.
